path,total_conversions,total_null,total_conversion_value
['a'],7412,81286,1092281209.0
"['a', 'd']",426,1188,34111110.0
"['a', 'd', 'a']",90,420,55313766.0
"['a', 'd', 'a', 'd']",18,56,2659990.0
"['a', 'd', 'a', 'd', 'a']",5,26,133590.0
"['a', 'd', 'a', 'd', 'a', 'd']",0,3,0.0
"['a', 'd', 'a', 'd', 'e']",0,1,0.0
"['a', 'd', 'a', 'e']",0,1,0.0
"['a', 'd', 'a', 'e', 'a']",0,1,0.0
"['a', 'd', 'e']",0,6,0.0
"['a', 'd', 'e', 'a']",4,3,261620.0
"['a', 'e']",71,1137,8705910.0
"['a', 'e', 'a']",9,346,601730.0
"['a', 'e', 'a', 'd']",9,1,224810.0
"['a', 'e', 'a', 'd', 'a']",0,2,0.0
"['a', 'e', 'a', 'd', 'a', 'd', 'a', 'd']",0,1,0.0
"['a', 'e', 'a', 'd', 'e', 'a', 'e']",0,1,0.0
"['a', 'e', 'a', 'e']",3,85,191470.0
"['a', 'e', 'a', 'e', 'a']",0,22,0.0
"['a', 'e', 'a', 'e', 'a', 'd', 'e']",0,1,0.0
"['a', 'e', 'a', 'e', 'a', 'e']",0,13,0.0
"['a', 'e', 'a', 'e', 'a', 'e', 'a']",0,7,0.0
"['a', 'e', 'a', 'e', 'a', 'e', 'a', 'e']",0,2,0.0
"['a', 'e', 'd']",0,7,0.0
"['a', 'e', 'd', 'a']",0,4,0.0
"['a', 'e', 'd', 'a', 'e']",0,1,0.0
"['a', 'e', 'd', 'e']",0,3,0.0
"['a', 'e', 'd', 'e', 'a']",0,1,0.0
['b'],0,1,0.0
['c'],0,3,0.0
['d'],79970,125879,14207885131.0
"['d', 'a']",314,1199,27843970.0
"['d', 'a', 'd']",120,260,10927800.0
"['d', 'a', 'd', 'a']",10,73,280670.0
"['d', 'a', 'd', 'a', 'd']",2,13,178500.0
"['d', 'a', 'd', 'a', 'd', 'a']",0,5,0.0
"['d', 'a', 'd', 'a', 'd', 'a', 'd']",0,1,0.0
"['d', 'a', 'd', 'a', 'e']",0,1,0.0
"['d', 'a', 'd', 'e']",0,2,0.0
"['d', 'a', 'e']",0,6,0.0
"['d', 'a', 'e', 'a']",0,2,0.0
"['d', 'a', 'e', 'd']",0,2,0.0
"['d', 'a', 'e', 'd', 'a', 'd', 'a']",0,1,0.0
"['d', 'e']",27,210,2122560.0
"['d', 'e', 'a']",1,3,29900.0
"['d', 'e', 'a', 'd']",0,2,0.0
"['d', 'e', 'a', 'e']",0,3,0.0
"['d', 'e', 'a', 'e', 'a', 'e']",0,1,0.0
"['d', 'e', 'd']",9,23,914390.0
"['d', 'e', 'd', 'a']",0,2,0.0
"['d', 'e', 'd', 'e']",3,4,471000.0
"['d', 'e', 'd', 'e', 'd']",0,4,0.0
['e'],3119,60234,696400744.0
"['e', 'a']",56,1555,7291680.0
"['e', 'a', 'd']",0,9,0.0
"['e', 'a', 'd', 'a']",0,4,0.0
"['e', 'a', 'd', 'e']",0,4,0.0
"['e', 'a', 'e']",26,435,830780.0
"['e', 'a', 'e', 'a']",7,98,459490.0
"['e', 'a', 'e', 'a', 'e']",1,30,88900.0
"['e', 'a', 'e', 'a', 'e', 'a']",0,11,0.0
"['e', 'a', 'e', 'a', 'e', 'a', 'e']",0,6,0.0
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,2,0.0
"['e', 'a', 'e', 'a', 'e', 'a', 'e', 'a', 'e', 'a']",0,1,0.0
"['e', 'a', 'e', 'a', 'e', 'd']",0,1,0.0
"['e', 'a', 'e', 'a', 'e', 'd', 'e', 'a', 'e']",0,1,0.0
"['e', 'a', 'e', 'd']",0,1,0.0
"['e', 'a', 'e', 'd', 'a']",0,2,0.0
"['e', 'a', 'e', 'd', 'e']",0,3,0.0
"['e', 'd']",123,303,11695100.0
"['e', 'd', 'a']",3,9,353070.0
"['e', 'd', 'a', 'e']",1,0,8650.0
"['e', 'd', 'a', 'e', 'a']",0,1,0.0
"['e', 'd', 'e']",11,107,5790470.0
"['e', 'd', 'e', 'a']",0,1,0.0
"['e', 'd', 'e', 'd']",2,11,15400.0
"['e', 'd', 'e', 'd', 'e']",1,4,14310.0
"['e', 'd', 'e', 'd', 'e', 'd']",0,4,0.0
['f'],0,64,0.0
